,,,,,,% Gain
1,0.08745,1,0.080852,91,2.47871,96.7381420174
41,1.193502,1,0.089239,71,2.003733,95.546362714
81,2.177968,21,0.614372,101,2.694838,77.201894882
61,1.650695,11,0.341008,61,1.655245,79.3983368021
181,4.820979,21,0.610074,31,0.890296,31.4751498378
61,1.773767,1,0.083537,111,3.013082,97.2275231806
41,1.153848,1,0.089183,21,0.633048,85.9121267266
21,0.647799,11,0.359969,71,2.00252,82.0241995086
21,0.714221,21,0.672466,41,1.26319,46.7644614033
81,2.257438,11,0.362018,121,3.338419,89.1560046837
31,0.973804,11,0.343686,71,1.910453,82.0102352688
121,3.37164,21,0.614244,21,0.629768,2.465034743
181,5.047122,1,0.087345,51,1.42925,93.8887528424
21,0.629519,11,0.350325,31,0.878972,60.1437815994
31,0.90893,21,0.629912,41,1.162852,45.8304238201
141,4.426304,11,0.369285,111,3.27844,88.7359536853
51,1.57493,11,0.400019,31,0.953527,58.0484873527
21,0.682306,11,0.391603,131,3.886301,89.9235030946
31,1.168748,11,0.425751,101,2.912379,85.3813325807
61,1.812082,11,0.373624,31,0.969757,61.4724100986
